date,country,cds_spread,risk_free_rate,B_f,LCL_usd,sigma_lcl,implied_V_M0,implied_sigma_V_M0,cca_converged_M0,implied_V_M1,implied_sigma_V_M1,cca_converged_M1,convenience_yield,implied_V_M2,implied_sigma_V_M2,cca_converged_M2,lambda_annual,group,exporter,DD_M0,DD_M1,DD_M2
2015-01-04,Brazil,207.97,0.0222,622.6488400000001,805.96795740989,0.1691149950763337,1363.199154630469,0.0999882721739818,True,1116.8383103027058,0.0999882721740932,True,-0.1579637848074127,1363.158359800456,0.1232577451782268,True,8.155143423832989,Exporter,1.0,3.5048073425747077,2.613260739346509,2.8430363264685212
2015-01-11,Brazil,201.92,0.0222,622.6488400000001,825.5754002840185,0.1705800817642371,1382.8064971543754,0.1018432925837181,True,1094.620034288864,0.1018432925838421,True,-0.1854262178680968,1382.7717742945651,0.1236120062025466,True,7.705557631254091,Exporter,1.0,3.503679240362747,2.477422977878581,2.886572357270372
2015-01-18,Brazil,205.65,0.0222,622.6488400000001,828.4633180961553,0.1705010408566339,1385.6944469821874,0.1019392458097321,True,1126.6252516616605,0.1019392458098569,True,-0.1639527169838928,1385.6531329310303,0.1254301964237793,True,8.384938910883598,Exporter,1.0,3.509533991170616,2.6015232914831135,2.8521514329861217
2015-01-25,Brazil,193.65,0.0222,622.6488400000001,841.7086561518994,0.1692594836754159,1398.9400461117798,0.1018410189226238,True,1122.0538471326067,0.1018410189226966,True,-0.1748231364197304,1398.902334774743,0.1256562853797449,True,8.506863620477713,Exporter,1.0,3.554695179702139,2.5861781015632945,2.880888307589079
2015-02-01,Brazil,212.77,0.0217,621.24774,805.2046121749763,0.1700252092454822,1362.5734441589357,0.1004775366041491,True,1112.957950020892,0.1004775366043155,True,-0.1602159595464554,1362.5249867798495,0.124822541048015,True,8.60907893308385,Exporter,1.0,3.495724404453964,2.5950713827351963,2.8138016519993103
2015-02-08,Brazil,229.48,0.0217,621.24774,776.2405726951206,0.1738432291170986,1333.6083304743236,0.101190911387133,True,1126.8800461488067,0.1011909113878437,True,-0.1329931530251255,1333.5383549958608,0.1259761225511059,True,8.831137734961025,Exporter,1.0,3.3761190626496975,2.631717739938514,2.711697198788682
2015-02-15,Brazil,235.35,0.0217,621.24774,761.9853410101833,0.1748650569077345,1319.3526325305177,0.100996734740628,True,1197.9978838342977,0.1009967347421591,True,-0.0749652334773636,1319.284405708623,0.1244444657792842,True,8.28998791264736,Exporter,1.0,3.3350217794576795,2.9077664293390932,2.7064536847190346
2015-02-22,Brazil,235.89,0.0217,621.24774,753.1082192835655,0.1743207607170283,1310.4755562929836,0.1001834888893921,True,1164.9833872068878,0.1001834888909431,True,-0.091917535684517,1310.408672832673,0.1233690281412777,True,8.128638703411497,Exporter,1.0,3.3319575136687996,2.8066258807770823,2.705576175084171
2015-03-01,Brazil,235.88,0.0168,607.51696,775.2310822442553,0.1765231908980881,1333.7977229627152,0.1026037281505855,True,1193.8942692030507,0.1026037281527059,True,-0.0864101550574809,1333.7280250784008,0.1258384462298661,True,8.32346641060847,Exporter,1.0,3.4276651859022493,2.9446840117981616,2.79459789602612
2015-03-08,Brazil,253.64,0.0168,607.51696,718.8230289735859,0.1921444676280538,1277.3768787713136,0.1081476832604747,True,1144.7081117517926,0.1081476832853235,True,-0.08549060932975,1277.2408124703911,0.1286409662318246,True,7.584145071576028,Exporter,1.0,3.073222752985017,2.619759618369913,2.5832694735032375
2015-03-15,Brazil,302.25,0.0168,607.51696,677.3588183516697,0.2007996565675794,1235.8947190157962,0.1100972387950025,True,1037.0973246112387,0.1100972387980635,True,-0.1377571343302729,1235.6505323466547,0.1318359903883599,True,8.187934488258595,Exporter,1.0,2.884703058553686,2.1723547686138103,2.408367183138535
2015-03-22,Brazil,291.2898,0.0168,607.51696,681.5404531535916,0.2006353282988505,1240.0771686510968,0.110311723834431,True,1054.9729384951197,0.1103117238372486,True,-0.1267608419540538,1239.857694450383,0.1310335400095445,True,7.789327994082119,Exporter,1.0,2.892790647679627,2.2374126506941763,2.4347168383019797
2015-03-29,Brazil,285.95,0.0168,607.51696,677.2707838524447,0.1983762352936145,1235.811747103872,0.1087559750666056,True,1048.1263719094516,0.1087559750685764,True,-0.1292167385325054,1235.5929021625209,0.1302509478336649,True,8.004976404557853,Exporter,1.0,2.9200033980639652,2.2426451458162013,2.437514810919536
2015-04-05,Brazil,259.48,0.0208,618.72576,735.9204742427992,0.2127278635756757,1293.472387344836,0.1211031240352895,True,1057.3799498035737,0.1211031240596508,True,-0.1585846971206449,1293.2275969438954,0.1400231596127685,True,7.680461418578111,Exporter,1.0,2.723181792224501,1.978942023541115,2.354618906070263
2015-04-12,Brazil,245.19,0.0208,618.72576,746.7843792924108,0.2131532927355051,1304.3366427888998,0.1221094628753083,True,1154.9076542185776,0.1221094628866179,True,-0.0941071687434335,1304.1330441655612,0.1391528731154315,True,6.926849823778328,Exporter,1.0,2.7313723761144404,2.2857528717268853,2.3963328507564334
2015-04-19,Brazil,241.81,0.0208,618.72576,755.3055396969996,0.2134495994774195,1312.858198746293,0.1228704096535266,True,1212.4845994013754,0.1228704096645015,True,-0.0602885675020527,1312.663968731738,0.1395488651799186,True,6.810288774147373,Exporter,1.0,2.7381585975715916,2.4486738404480084,2.410428064075369
2015-04-26,Brazil,220.11,0.0208,618.72576,778.1358181095579,0.2157179873343359,1335.684383296724,0.125745066044223,True,1238.2211077223235,0.1257450660557976,True,-0.0572738860033966,1335.51688701368,0.1407076383257593,True,6.205567383411147,Exporter,1.0,2.7368659189691837,2.4673960915766715,2.4454344144953795
