date,country,cds_spread,risk_free_rate,B_f,LCL_usd,sigma_lcl,lambda_annual,implied_V,implied_sigma_V,cca_converged
2015-01-04,Brazil,207.97,0.0222,622.6488400000001,805.96795740989,0.1691149950763337,8.155143423832989,1363.1583598004559,0.12325774517822685,True
2015-01-11,Brazil,201.92,0.0222,622.6488400000001,825.5754002840185,0.17058008176423717,7.705557631254091,1382.7717742945651,0.12361200620254663,True
2015-01-18,Brazil,205.65,0.0222,622.6488400000001,828.4633180961553,0.17050104085663392,8.384938910883598,1385.6531329310303,0.12543019642377934,True
2015-01-25,Brazil,193.65,0.0222,622.6488400000001,841.7086561518994,0.16925948367541593,8.506863620477713,1398.902334774743,0.1256562853797449,True
2015-02-01,Brazil,212.77,0.0217,621.24774,805.2046121749763,0.17002520924548223,8.60907893308385,1362.5249867798495,0.124822541048015,True
2015-02-08,Brazil,229.48,0.0217,621.24774,776.2405726951206,0.1738432291170986,8.831137734961025,1333.5383549958608,0.12597612255110593,True
2015-02-15,Brazil,235.35,0.0217,621.24774,761.9853410101833,0.17486505690773455,8.28998791264736,1319.2844057086227,0.12444446577928427,True
2015-02-22,Brazil,235.89,0.0217,621.24774,753.1082192835655,0.1743207607170283,8.128638703411497,1310.408672832673,0.12336902814127776,True
2015-03-01,Brazil,235.88,0.0168,607.51696,775.2310822442553,0.1765231908980881,8.32346641060847,1333.7280250784008,0.12583844622986617,True
2015-03-08,Brazil,253.64,0.0168,607.51696,718.8230289735859,0.19214446762805387,7.584145071576028,1277.2408124703913,0.12864096623182467,True
2015-03-15,Brazil,302.25,0.0168,607.51696,677.3588183516697,0.20079965656757942,8.187934488258595,1235.6505323466547,0.1318359903883599,True
2015-03-22,Brazil,291.2898,0.0168,607.51696,681.5404531535916,0.2006353282988505,7.789327994082119,1239.857694450383,0.13103354000954454,True
2015-03-29,Brazil,285.95,0.0168,607.51696,677.2707838524447,0.19837623529361456,8.004976404557853,1235.5929021625209,0.13025094783366492,True
2015-04-05,Brazil,259.48,0.0208,618.72576,735.9204742427992,0.2127278635756757,7.680461418578111,1293.2275969438954,0.14002315961276857,True
2015-04-12,Brazil,245.19,0.0208,618.72576,746.7843792924108,0.2131532927355051,6.926849823778328,1304.1330441655612,0.13915287311543156,True
2015-04-19,Brazil,241.81,0.0208,618.72576,755.3055396969996,0.21344959947741954,6.810288774147373,1312.663968731738,0.13954886517991866,True
2015-04-26,Brazil,220.11,0.0208,618.72576,778.1358181095579,0.21571798733433598,6.205567383411147,1335.51688701368,0.1407076383257593,True
2015-05-03,Brazil,237.95,0.0187,612.8411400000001,774.4032720768671,0.2152233317992127,6.094891294281151,1332.3157874453934,0.13992544975502524,True
2015-05-10,Brazil,222.26,0.0187,612.8411400000001,785.1653579312409,0.2156768098122574,6.0357508272506495,1343.0840452503755,0.14067045045427373,True
2015-05-17,Brazil,228.93,0.0187,612.8411400000001,778.9088742229528,0.215808632404222,5.468223330610242,1336.843041301579,0.13906016255544265,True
2015-05-24,Brazil,220.46,0.0187,612.8411400000001,754.3264961250642,0.2180727412753234,5.614899382679133,1312.2178418823632,0.13908745126029523,True
