date,country,cds_spread,risk_free_rate,B_f,LCL_usd,sigma_lcl,implied_V,implied_sigma_V,cca_converged
2018-04-15,South Africa,152.75,0.0281,197.6429475,114.66666431589073,0.15906093901731203,286.40202061447894,0.06369112583306459,True
2018-04-22,South Africa,154.22,0.0281,197.6429475,114.38989223889223,0.1580119580649249,286.12536925178006,0.06317876012869537,True
2018-04-29,South Africa,157.4,0.0281,197.6429475,112.25874742597239,0.1582586648222106,283.9941530750073,0.0625650701049886,True
2018-05-06,South Africa,170.07,0.0273,196.94976749999998,110.13744758172157,0.15962301196775852,281.95621498661666,0.06236090198720831,True
2018-05-13,South Africa,159.63,0.0273,196.94976749999998,112.35396370136054,0.1605711238030046,284.17264858630074,0.0634949036418664,True
2018-05-20,South Africa,178.39,0.0273,196.94976749999998,107.87962988847457,0.16613506056249935,279.6971328225327,0.06409514851490364,True
2018-05-27,South Africa,165.23,0.0273,196.94976749999998,110.22005063193905,0.16523913462810155,282.03784089119955,0.06459007799306274,True
2018-06-03,South Africa,175.54,0.0297,199.0293075,108.4657785789805,0.16613065219633888,280.0263582011603,0.06436564425058534,True
2018-06-10,South Africa,190.17,0.0297,199.0293075,105.35495801668219,0.16846550059354382,276.914808664347,0.06411509560255431,True
2018-06-17,South Africa,204.75,0.0297,199.0293075,102.46437254981177,0.1705621558150486,274.0234344395829,0.06380300861268705,True
2018-06-24,South Africa,196.08,0.0297,199.0293075,102.43684318325617,0.17030352883990457,273.99598878462194,0.06369509456583018,True
2018-07-01,South Africa,212.4,0.0289,198.33612749999998,100.7801792604517,0.170208070015594,272.4269724264892,0.06299133618945416,True
2018-07-08,South Africa,202.9,0.0289,198.33612749999998,107.79270368958855,0.18115699335227214,279.435078022149,0.06993068059223721,True
2018-07-15,South Africa,181.96,0.0289,198.33612749999998,109.43340621047417,0.17977739356727543,281.07671258506434,0.07003764768118034,True
2018-07-22,South Africa,182.78,0.0289,198.33612749999998,108.31540538614377,0.17995571449643524,279.95851356888187,0.06966948962233437,True
2018-07-29,South Africa,180.08,0.0289,198.33612749999998,110.17390026320925,0.18049056105973993,281.8168834615494,0.07060661669519262,True
2018-08-05,South Africa,182.03,0.0287,198.16283249999998,108.14743856950444,0.17645659265960711,279.81388509473373,0.06823572949274419,True
2018-08-12,South Africa,201.54,0.0287,198.16283249999998,102.1952940947086,0.18584128942070324,273.85542854308227,0.06942123412142504,True
2018-08-19,South Africa,219.85,0.0287,198.16283249999998,98.43376938239903,0.18847548003543965,270.09113769259494,0.06877510818857717,True
2018-08-26,South Africa,206.73,0.0287,198.16283249999998,101.2296919455035,0.1903837123812665,272.885662134811,0.070717134192164,True
2018-09-02,South Africa,228.05,0.03,199.28924999999998,97.91491480553339,0.19255568344668805,269.4253440235497,0.07008681236532417,True
2018-09-09,South Africa,239.74,0.03,199.28924999999998,94.37738078125274,0.19582352170302134,265.8831905997623,0.06964224403090909,True
2018-09-16,South Africa,217.83,0.03,199.28924999999998,96.28994997241975,0.19637273712479275,267.7954189606741,0.07074286379893649,True
2018-09-23,South Africa,209.65,0.03,199.28924999999998,100.474593875584,0.2010850052594905,271.9741717962774,0.07444784490217646,True
2018-09-30,South Africa,200.31,0.0286,198.07618499999998,102.54537285435902,0.20104377849120614,274.198959919188,0.07534462818822826,True
2018-10-07,South Africa,218.72,0.0286,198.07618499999998,102.13971057046385,0.2009424008495736,273.7933570269142,0.07512022681465472,True
2018-10-14,South Africa,223.09,0.0286,198.07618499999998,103.93534152142429,0.1981290009796635,275.59349878025387,0.07485569702801105,True
2018-10-21,South Africa,217.73,0.0286,198.07618499999998,104.65962958450355,0.19619155712019765,276.32047456114026,0.07443094969796517,True
2018-10-28,South Africa,232.25,0.0286,198.07618499999998,103.33176807716448,0.1941161465721734,274.99485588857686,0.07305117211194703,True
2018-11-04,South Africa,222.02,0.0308999999999999,200.0690774999999,104.36086961255755,0.19387960647234764,275.76902177311314,0.07347841599078524,True
2018-11-11,South Africa,220.41,0.0308999999999999,200.0690774999999,104.21159074030025,0.1935364810956712,275.6201015598644,0.07328155108262505,True
2018-11-18,South Africa,225.6,0.0308999999999999,200.0690774999999,106.46570196346478,0.19279868487770277,277.87541223569184,0.07396811895080574,True
2018-11-25,South Africa,238.89,0.0308999999999999,200.0690774999999,107.71964454610185,0.19300273317085667,279.1293543820297,0.07458075003051176,True
2018-12-02,South Africa,228.17,0.0314,200.50231499999998,107.79998023095403,0.19144700810371285,279.1535658945285,0.07402086583298653,True
2018-12-09,South Africa,224.16,0.0314,200.50231499999998,105.58716513269697,0.1926602034726599,276.9391390610817,0.07355369089218818,True
2018-12-16,South Africa,221.67,0.0314,200.50231499999998,103.82289357351698,0.18960782453173441,275.1776247118675,0.07162343834399497,True
