date,country,cds_spread,risk_free_rate,B_f,LCL_usd,sigma_lcl,implied_V_M0,implied_sigma_V_M0,cca_converged_M0,implied_V_M1,implied_sigma_V_M1,cca_converged_M1,convenience_yield,implied_V_M2,implied_sigma_V_M2,cca_converged_M2,lambda_annual,group,exporter,DD_M0,DD_M1,DD_M2
2015-01-04,Brazil,207.97,0.0222,622.6488400000001,805.96795740989,0.1691149950763337,1363.199154630469,0.0999882721739818,True,1310.3158302642764,0.0999882721739851,True,-0.1579637848074127,1363.1988747556122,0.1010208074425989,True,8.155143423832989,Exporter,1.0,3.5048073425747077,3.3278418022712817,3.4689837424788847
2015-01-11,Brazil,201.92,0.0222,622.6488400000001,825.5754002840185,0.1705800817642371,1382.8064971543754,0.1018432925837181,True,1320.0657830785954,0.1018432925837218,True,-0.1854262178680968,1382.806238270938,0.1028015816039645,True,7.705557631254091,Exporter,1.0,3.503679240362747,3.2997805125823043,3.4710180592831836
2015-01-18,Brazil,205.65,0.0222,622.6488400000001,828.4633180961553,0.1705010408566339,1385.6944469821874,0.1019392458097321,True,1329.9374166885973,0.1019392458097359,True,-0.1639527169838928,1385.694165420613,0.1029806190781827,True,8.384938910883598,Exporter,1.0,3.509533991170616,3.3293594793669476,3.4740435679635318
2015-01-25,Brazil,193.65,0.0222,622.6488400000001,841.7086561518994,0.1692594836754159,1398.9400461117798,0.1018410189226238,True,1339.006673966882,0.1018410189226259,True,-0.1748231364197304,1398.939807812092,0.1028984014185507,True,8.506863620477713,Exporter,1.0,3.554695179702139,3.362414627785121,3.518166442721965
2015-02-01,Brazil,212.77,0.0217,621.24774,805.2046121749763,0.1700252092454822,1362.5734441589357,0.1004775366041491,True,1308.9663812085812,0.100477536604154,True,-0.1602159595464554,1362.5731220155285,0.1015620232574623,True,8.60907893308385,Exporter,1.0,3.495724404453964,3.317077837768511,3.4583957645727295
2015-02-08,Brazil,229.48,0.0217,621.24774,776.2405726951206,0.1738432291170986,1333.6083304743236,0.101190911387133,True,1289.883943688437,0.1011909113871542,True,-0.1329931530251255,1333.6078041784954,0.1022957238636061,True,8.831137734961025,Exporter,1.0,3.3761190626496975,3.2287902664644186,3.3396546356901764
2015-02-15,Brazil,235.35,0.0217,621.24774,761.9853410101833,0.1748650569077345,1319.3526325305177,0.100996734740628,True,1294.7123689681782,0.1009967347406705,True,-0.0749652334773636,1319.3520491186125,0.1020362684218633,True,8.28998791264736,Exporter,1.0,3.3350217794576795,3.25154234665932,3.3010430258542547
2015-02-22,Brazil,235.89,0.0217,621.24774,753.1082192835655,0.1743207607170283,1310.4755562929836,0.1001834888893921,True,1280.5622684359105,0.1001834888894349,True,-0.091917535684517,1310.474993724033,0.1012110832256207,True,8.128638703411497,Exporter,1.0,3.3319575136687996,3.2288812815340218,3.2981263111650954
2015-03-01,Brazil,235.88,0.0168,607.51696,775.2310822442553,0.1765231908980881,1333.7977229627152,0.1026037281505855,True,1305.1472624964724,0.1026037281506464,True,-0.0864101550574809,1333.7970964181306,0.1036313109385247,True,8.32346641060847,Exporter,1.0,3.4276651859022493,3.333019638759236,3.3936752672929513
2015-03-08,Brazil,253.64,0.0168,607.51696,718.8230289735859,0.1921444676280538,1277.3768787713136,0.1081476832604747,True,1250.2258070389676,0.1081476832604823,True,-0.08549060932975,1277.3748652212594,0.1090385579183782,True,7.584145071576028,Exporter,1.0,3.073222752985017,2.984379869239897,3.04810722255556
2015-03-15,Brazil,302.25,0.0168,607.51696,677.3588183516697,0.2007996565675794,1235.8947190157962,0.1100972387950025,True,1193.9044346243347,0.1100972387951012,True,-0.1377571343302729,1235.890684891299,0.1110440327358456,True,8.187934488258595,Exporter,1.0,2.884703058553686,2.744295578489519,2.860094089691563
2015-03-22,Brazil,291.2898,0.0168,607.51696,681.5404531535916,0.2006353282988505,1240.0771686510968,0.110311723834431,True,1201.2408957455425,0.1103117238345216,True,-0.1267608419540538,1240.0734331398364,0.1112107623312974,True,7.789327994082119,Exporter,1.0,2.892790647679627,2.76379556946338,2.8693929363943016
2015-03-29,Brazil,285.95,0.0168,607.51696,677.2707838524447,0.1983762352936145,1235.811747103872,0.1087559750666056,True,1196.3745034523506,0.1087559750666683,True,-0.1292167385325054,1235.8082417548055,0.1096924995692103,True,8.004976404557853,Exporter,1.0,2.9200033980639652,2.786639077378183,2.8950616449570377
2015-04-05,Brazil,259.48,0.0208,618.72576,735.9204742427992,0.2127278635756757,1293.472387344836,0.1211031240352895,True,1243.0300465701016,0.1211031240356143,True,-0.1585846971206449,1293.4673335618804,0.1219127944635074,True,7.680461418578111,Exporter,1.0,2.723181792224501,2.5762868454649297,2.7050817469512123
2015-04-12,Brazil,245.19,0.0208,618.72576,746.7843792924108,0.2131532927355051,1304.3366427888998,0.1221094628753083,True,1273.8020775262703,0.1221094628756756,True,-0.0941071687434335,1304.3322017250964,0.1228338395050262,True,6.926849823778328,Exporter,1.0,2.7313723761144404,2.6446159925977555,2.7152525102878933
2015-04-19,Brazil,241.81,0.0208,618.72576,755.3055396969996,0.2134495994774195,1312.858198746293,0.1228704096535266,True,1293.0030777519585,0.1228704096538814,True,-0.0602885675020527,1312.853896469496,0.1235781684562719,True,6.810288774147373,Exporter,1.0,2.7381585975715916,2.6826925349537123,2.722464714015022
2015-04-26,Brazil,220.11,0.0208,618.72576,778.1358181095579,0.2157179873343359,1335.684383296724,0.125745066044223,True,1316.4757872589998,0.1257450660446016,True,-0.0572738860033966,1335.6804235783843,0.1263755436693649,True,6.205567383411147,Exporter,1.0,2.7368659189691837,2.685348095241352,2.723201419740117
2015-05-03,Brazil,237.95,0.0187,612.8411400000001,774.4032720768671,0.2152233317992127,1332.4791977541918,0.1251547455534301,True,1312.282348774252,0.125154745553812,True,-0.0604290484048616,1332.4753297968412,0.1257768872228208,True,6.094891294281151,Exporter,1.0,2.775337690700124,2.720761501124236,2.7615994638445613
2015-05-10,Brazil,222.26,0.0187,612.8411400000001,785.1653579312409,0.2156768098122574,1343.241501027941,0.1261412300251627,True,1321.086677082233,0.1261412300255183,True,-0.0658616090135366,1343.2377309256767,0.1267524878406319,True,6.0357508272506495,Exporter,1.0,2.782153570203092,2.7231907120344,2.7687268647589147
2015-05-17,Brazil,228.93,0.0187,612.8411400000001,778.9088742229528,0.215808632404222,1336.983478256529,0.1258008399359031,True,1322.9490858818106,0.1258008399363065,True,-0.0415326256601046,1336.979996008451,0.1263563306063867,True,5.468223330610242,Exporter,1.0,2.7730807149040757,2.7355671384273945,2.760880413957445
2015-05-24,Brazil,220.46,0.0187,612.8411400000001,754.3264961250642,0.2180727412753234,1312.3876363424145,0.1254322279412913,True,1298.1440540373635,0.1254322279420877,True,-0.0429725558563611,1312.3833908707663,0.1260049672944473,True,5.614899382679133,Exporter,1.0,2.715028653783814,2.676121413521899,2.702676359332014
2015-05-31,Brazil,231.01,0.0212,619.8466400000001,720.132232808983,0.2222837719400983,1277.5331621675164,0.1254216824993616,True,1262.6089635742717,0.1254216825015542,True,-0.046326023542028,1277.527357266477,0.1260234533513659,True,5.885534915659204,Exporter,1.0,2.5787504264746555,2.536850778769112,2.5664205873079844
2015-06-07,Brazil,247.9,0.0212,619.8466400000001,728.3756619705233,0.2226645581414575,1285.7767380443152,0.1262582819215949,True,1269.505969663365,0.1262582819236744,True,-0.0502644812083042,1285.771029088219,0.1268537616712563,True,5.863339376158497,Exporter,1.0,2.584445867589895,2.5393371900449115,2.5722982510898835
2015-06-14,Brazil,242.18,0.0212,619.8466400000001,734.2834527652882,0.2225459843939216,1291.6867125151734,0.1266292780305487,True,1268.800990690444,0.1266292780324664,True,-0.0708224412707113,1291.6813405912617,0.1272002287816948,True,5.639079082667099,Exporter,1.0,2.593069892120103,2.5299357405233276,2.5814160207988417
2015-06-21,Brazil,240.17,0.0212,619.8466400000001,739.252408752324,0.2226956202117029,1296.6561696801136,0.1270815971536017,True,1272.240980232746,0.1270815971554383,True,-0.0753527337777379,1296.6509735226862,0.1276382150310885,True,5.517360826083393,Exporter,1.0,2.5973533724652578,2.53045912261935,2.586012525472786
2015-06-28,Brazil,256.0898,0.0212,619.8466400000001,731.6959320257795,0.2221552301008467,1289.1005733019626,0.126213309262213,True,1267.838475160024,0.1262133092640954,True,-0.065838587503774,1289.095515381203,0.1267584178481064,True,5.365998959550843,Exporter,1.0,2.594514698330026,2.535584813402879,2.583343472347357
2015-07-05,Brazil,249.89,0.0219,621.8081800000001,763.9461349960022,0.2125355766154827,1321.2075536851398,0.1229564280053237,True,1308.3040948060996,0.1229564280056029,True,-0.038551984785363,1321.2041190867744,0.1235683073028234,True,5.892196739957852,Exporter,1.0,2.7412260401264508,2.705529322432293,2.727642767246849
2015-07-12,Brazil,251.79,0.0219,621.8081800000001,758.0071788817905,0.2126008670403862,1315.2674661752278,0.1225909193514898,True,1296.5219555177755,0.1225909193517869,True,-0.0567344251466158,1315.26341733454,0.1232909836435014,True,6.72277147135798,Exporter,1.0,2.732960802264251,2.6805943362472915,2.717431483815729
2015-07-19,Brazil,262.49,0.0219,621.8081800000001,751.1821685885069,0.2126993796735222,1308.4410507326106,0.1221796531170792,True,1290.7742295523456,0.1221796531174082,True,-0.0536975892946644,1308.4373650149832,0.1228058010459322,True,5.990061358537994,Exporter,1.0,2.723113265087016,2.673354573080965,2.709218713983223
2015-07-26,Brazil,293.25,0.0219,621.8081800000001,713.680534038896,0.2181584656993817,1270.910736823209,0.1226091928214913,True,1246.7809636378936,0.1226091928228043,True,-0.0759858412411206,1270.9050977882212,0.1232851620002627,True,6.473522989525034,Exporter,1.0,2.607422283205651,2.5375047737867376,2.593109762838966
2015-08-02,Brazil,288.8699,0.0243,628.5334600000001,685.5660654790098,0.2212006766170015,1242.0822340137038,0.1222207332511107,True,1212.6000230427628,0.1222207332539351,True,-0.0953976788042335,1242.0753621573087,0.122898077681918,True,6.453318164392281,Exporter,1.0,2.4923911108634935,2.404491741477608,2.478634333707931
2015-08-09,Brazil,327.8999,0.0243,628.5334600000001,668.7957436491321,0.2220649912337816,1225.3021711899423,0.1213495893377744,True,1186.9619693983277,0.1213495893418593,True,-0.1264497609181411,1225.294363628028,0.1220602676418779,True,6.717159407258605,Exporter,1.0,2.460156658580508,2.342998431770028,2.4458094051563832
