date,country,cds_spread,risk_free_rate,B_f,LCL_usd,sigma_lcl,convenience_yield,implied_V,implied_sigma_V,cca_converged
2015-01-04,Brazil,207.97,0.0222,622.6488400000001,805.96795740989,0.1691149950763337,-0.15796378480741274,1210.0787270831372,0.09998827217401497,True
2015-01-11,Brazil,201.92,0.0222,622.6488400000001,825.5754002840185,0.17058008176423717,-0.18542621786809688,1202.43954243218,0.10184329258375523,True
2015-01-18,Brazil,205.65,0.0222,622.6488400000001,828.4633180961553,0.17050104085663392,-0.16395271698389288,1224.4658298080144,0.10193924580976911,True
2015-01-25,Brazil,193.65,0.0222,622.6488400000001,841.7086561518994,0.16925948367541593,-0.17482313641973043,1226.1368371111705,0.1018410189226453,True
2015-02-01,Brazil,212.77,0.0217,621.24774,805.2046121749763,0.17002520924548223,-0.16021595954645548,1207.3923758961316,0.100477536604198,True
2015-02-08,Brazil,229.48,0.0217,621.24774,776.2405726951206,0.1738432291170986,-0.13299315302512557,1206.0536351992919,0.10119091138734355,True
2015-02-15,Brazil,235.35,0.0217,621.24774,761.9853410101833,0.17486505690773455,-0.07496523347736368,1245.9713334397804,0.10099673474106176,True
2015-02-22,Brazil,235.89,0.0217,621.24774,753.1082192835655,0.1743207607170283,-0.09191753568451706,1221.9511145859788,0.10018348888982953,True
2015-03-01,Brazil,235.88,0.0168,607.51696,775.2310822442553,0.1765231908980881,-0.0864101550574809,1248.8407405056885,0.10260372815119889,True
2015-03-08,Brazil,253.64,0.0168,607.51696,718.8230289735859,0.19214446762805387,-0.08549060932975,1196.8393961813815,0.10814768326054786,True
2015-03-15,Brazil,302.25,0.0168,607.51696,677.3588183516697,0.20079965656757942,-0.13775713433027295,1113.3072082821643,0.11009723879595948,True
2015-03-22,Brazil,291.2898,0.0168,607.51696,681.5404531535916,0.2006353282988505,-0.12676084195405388,1126.3116862759612,0.11031172383531035,True
2015-03-29,Brazil,285.95,0.0168,607.51696,677.2707838524447,0.19837623529361456,-0.12921673853250545,1120.373847560738,0.10875597506721589,True
2015-04-05,Brazil,259.48,0.0208,618.72576,735.9204742427992,0.2127278635756757,-0.15858469712064494,1147.0597256831802,0.12110312403839328,True
2015-04-12,Brazil,245.19,0.0208,618.72576,746.7843792924108,0.2131532927355051,-0.09410716874343351,1213.6832299378527,0.12210946287886143,True
2015-04-19,Brazil,241.81,0.0208,618.72576,755.3055396969996,0.21344959947741954,-0.06028856750205279,1252.9332966261923,0.12287040965696454,True
2015-04-26,Brazil,220.11,0.0208,618.72576,778.1358181095579,0.21571798733433598,-0.057273886003396654,1277.602333057478,0.12574506604787564,True
2015-05-03,Brazil,237.95,0.0187,612.8411400000001,774.4032720768671,0.2152233317992127,-0.060429048404861636,1271.534321827258,0.1251547455571118,True
2015-05-10,Brazil,222.26,0.0187,612.8411400000001,785.1653579312409,0.2156768098122574,-0.0658616090135366,1276.5975430750832,0.12614123002858554,True
2015-05-17,Brazil,228.93,0.0187,612.8411400000001,778.9088742229528,0.215808632404222,-0.04153262566010461,1294.004945222586,0.12580083993979246,True
2015-05-24,Brazil,220.46,0.0187,612.8411400000001,754.3264961250642,0.2180727412753234,-0.04297255585636112,1268.8289207800408,0.1254322279489476,True
2015-05-31,Brazil,231.01,0.0212,619.8466400000001,720.132232808983,0.22228377194009832,-0.04632602354202803,1232.02936507202,0.1254216825203735,True
2015-06-07,Brazil,247.9,0.0212,619.8466400000001,728.3756619705233,0.2226645581414575,-0.050264481208304276,1236.3248318567594,0.12625828194150626,True
2015-06-14,Brazil,242.18,0.0212,619.8466400000001,734.2834527652882,0.22254598439392168,-0.07082244127071136,1222.983896250464,0.12662927804892418,True
2015-06-21,Brazil,240.17,0.0212,619.8466400000001,739.252408752324,0.22269562021170294,-0.07535273377773792,1223.52738201153,0.12708159717119275,True
2015-06-28,Brazil,256.0898,0.0212,619.8466400000001,731.6959320257795,0.22215523010084678,-0.06583858750377405,1225.0982943948889,0.12621330928026545,True
2015-07-05,Brazil,249.89,0.0219,621.8081800000001,763.9461349960022,0.21253557661548278,-0.03855198478536302,1281.5167691264396,0.12295642800804578,True
2015-07-12,Brazil,251.79,0.0219,621.8081800000001,758.0071788817905,0.21260086704038628,-0.05673442514661585,1258.5353827854212,0.12259091935437913,True
2015-07-19,Brazil,262.49,0.0219,621.8081800000001,751.1821685885069,0.2126993796735222,-0.05369758929466449,1254.8740424191017,0.12217965312027657,True
2015-07-26,Brazil,293.25,0.0219,621.8081800000001,713.680534038896,0.21815846569938172,-0.07598584124112062,1198.64732859658,0.12260919283417136,True
2015-08-02,Brazil,288.8699,0.0243,628.5334600000001,685.5660654790098,0.2212006766170015,-0.09539767880423357,1154.519780301764,0.12222073327834307,True
2015-08-09,Brazil,327.8999,0.0243,628.5334600000001,668.7957436491321,0.22206499123378165,-0.12644976091814114,1112.654333926685,0.12134958937721149,True
2015-08-16,Brazil,300.5698,0.0243,628.5334600000001,673.1349177885235,0.2218927367147128,-0.11845841306512579,1123.3140987645074,0.121607948801259,True
2015-08-23,Brazil,336.74,0.0243,628.5334600000001,670.0154035228978,0.22186795188814357,-0.12861291099815786,1111.9594210581356,0.12134026407561112,True
2015-08-30,Brazil,327.0698,0.0243,628.5334600000001,654.7462013535078,0.22203384558051906,-0.18683447201367812,1051.0217454361787,0.12016941848955388,True
2015-09-06,Brazil,375.1199,0.0216,620.96752,617.5509361548953,0.22828646428793858,-0.11411459859460252,1076.1611388298647,0.12022417163435255,True
2015-09-13,Brazil,392.8799,0.0216,620.96752,613.3726804742439,0.225191381008471,-0.13072662342501856,1059.0764171366015,0.11818886532058222,True
2015-09-20,Brazil,390.3398,0.0216,620.96752,601.645076437711,0.2255115770352448,-0.1196376099750174,1057.2069007866871,0.1172807976537943,True
2015-09-27,Brazil,489.5098,0.0216,620.96752,596.8258384467869,0.22494397695592808,-0.11398152846513429,1057.2878273116103,0.11653218292407141,True
2015-10-04,Brazil,521.3599,0.0217,621.24774,629.8653312167867,0.21453007203237195,-0.08964258733537375,1107.6134950025678,0.11393537787813436,True
2015-10-11,Brazil,410.8398,0.0217,621.24774,657.8086999439012,0.21946956161412873,-0.05698070726841742,1161.7097849491895,0.11894533550708733,True
2015-10-18,Brazil,435.3699,0.0217,621.24774,631.2278182270461,0.2223334094435801,-0.10062512620414447,1099.5717317946423,0.11824923801736659,True
2015-10-25,Brazil,445.24,0.0217,621.24774,638.3622952781468,0.22280107060469334,-0.11141007389067298,1097.256603200707,0.11912093272297336,True
2015-11-01,Brazil,429.6699,0.0204999999999999,617.8850999999997,657.4477431339062,0.22518471189164835,-0.11567326655609961,1111.4965356402768,0.12201990826678505,True
2015-11-08,Brazil,401.45,0.0204999999999999,617.8850999999997,672.3050328394886,0.2250613893351277,-0.12315470685062294,1118.7962760296075,0.12319187272233027,True
2015-11-15,Brazil,426.99,0.0204999999999999,617.8850999999997,659.2985659548862,0.22524720690729844,-0.17636853065991448,1063.5098590449866,0.12221044235313923,True
2015-11-22,Brazil,388.6199,0.0204999999999999,617.8850999999997,684.271996452476,0.2258486682384776,-0.12196360360932867,1130.3768943992168,0.12460892004280276,True
2015-11-29,Brazil,415.4199,0.0204999999999999,617.8850999999997,659.1464434849188,0.22691194012942992,-0.11233531430153051,1115.5884115443798,0.12311362907667678,True
2015-12-06,Brazil,435.1199,0.022,622.0884000000001,669.3568560065518,0.22765777777836743,-0.14443018945731997,1097.7761454183699,0.12442683430612395,True
2015-12-13,Brazil,485.73,0.022,622.0884000000001,648.4614296962083,0.22842290710541424,-0.1878954478969807,1044.3493776336875,0.12306560305508676,True
2015-12-20,Brazil,490.2798,0.022,622.0884000000001,630.6551107040242,0.22969986553590352,-0.18311391299142096,1032.632510529754,0.12218548933898032,True
2015-12-27,Brazil,482.5698,0.022,622.0884000000001,636.4314906430177,0.2300775465646881,-0.13335996120809238,1076.9451143767926,0.12290813816931806,True
2016-01-03,Brazil,488.99,0.0215,598.55502,673.0658874179516,0.23425940875755735,-0.17087189264745592,1062.0971333903178,0.13048429428998964,True
2016-01-10,Brazil,480.7998,0.0215,598.55502,662.4026128910117,0.2328826309525854,-0.19912465829472575,1030.6713717396096,0.1287934730646561,True
2016-01-17,Brazil,491.73,0.0215,598.55502,658.5638340682401,0.23275370350477095,-0.1788224454151004,1043.1392569833959,0.12838903280488334,True
2016-01-24,Brazil,468.7998,0.0215,598.55502,651.0728837055068,0.23192858544056688,-0.1727696400447157,1041.3295152327682,0.12727477961434602,True
2016-01-31,Brazil,462.6299,0.0227,601.797756,656.3992234271914,0.2287548040072839,-0.1478804922671357,1065.4180431324623,0.1259980982108288,True
2016-02-07,Brazil,456.8398,0.0227,601.797756,672.4102408402954,0.22796248478092537,-0.15369561352640743,1075.0663867136857,0.12690428383546148,True
2016-02-14,Brazil,482.0298,0.0227,601.797756,655.7692817507317,0.2285154882707002,-0.15541519156673797,1059.1111128326504,0.12581045188758608,True
2016-02-21,Brazil,457.5898,0.0227,601.797756,652.6983160364913,0.22834659177017344,-0.142988956855771,1066.2792619357945,0.12545259811654852,True
