date,country,cds_spread,risk_free_rate,B_f,LCL_usd,sigma_lcl,lambda_annual,implied_V,implied_sigma_V,cca_converged
2015-01-04,Brazil,207.97,0.0222,622.6488400000001,805.96795740989,0.1691149950763337,8.155143423832989,1363.1940902195247,0.10893171073026209,True
2015-01-11,Brazil,201.92,0.0222,622.6488400000001,825.5754002840185,0.17058008176423717,7.705557631254091,1382.801876138812,0.11017026142681102,True
2015-01-18,Brazil,205.65,0.0222,622.6488400000001,828.4633180961553,0.17050104085663392,8.384938910883598,1385.6892507471478,0.11096271104318581,True
2015-01-25,Brazil,193.65,0.0222,622.6488400000001,841.7086561518994,0.16925948367541593,8.506863620477713,1398.9354969294625,0.11099758407808541,True
2015-02-01,Brazil,212.77,0.0217,621.24774,805.2046121749763,0.17002520924548223,8.60907893308385,1362.5674960370786,0.10985598420417368,True
2015-02-08,Brazil,229.48,0.0217,621.24774,776.2405726951206,0.1738432291170986,8.831137734961025,1333.599069606986,0.11074222543146411,True
2015-02-15,Brazil,235.35,0.0217,621.24774,761.9853410101833,0.17486505690773455,8.28998791264736,1319.3430395644807,0.11000349883469195,True
2015-02-22,Brazil,235.89,0.0217,621.24774,753.1082192835655,0.1743207607170283,8.128638703411497,1310.4661419803294,0.10908790624752729,True
2015-03-01,Brazil,235.88,0.0168,607.51696,775.2310822442553,0.1765231908980881,8.32346641060847,1333.7876116180162,0.1115156956892115,True
2015-03-08,Brazil,253.64,0.0168,607.51696,718.8230289735859,0.19214446762805387,7.584145071576028,1277.3503549396476,0.1159265775536123,True
2015-03-15,Brazil,302.25,0.0168,607.51696,677.3588183516697,0.20079965656757942,8.187934488258595,1235.843783887456,0.11835811490439957,True
2015-03-22,Brazil,291.2898,0.0168,607.51696,681.5404531535916,0.2006353282988505,7.789327994082119,1240.0306115933995,0.11816782629062998,True
2015-03-29,Brazil,285.95,0.0168,607.51696,677.2707838524447,0.19837623529361456,8.004976404557853,1235.7669046190672,0.11692605538310404,True
2015-04-05,Brazil,259.48,0.0208,618.72576,735.9204742427992,0.2127278635756757,7.680461418578111,1293.4140812997957,0.12821611134704758,True
2015-04-12,Brazil,245.19,0.0208,618.72576,746.7843792924108,0.2131532927355051,6.926849823778328,1304.286473934358,0.12848975723354336,True
2015-04-19,Brazil,241.81,0.0208,618.72576,755.3055396969996,0.21344959947741954,6.810288774147373,1312.8099891061158,0.1291080164674162,True
2015-04-26,Brazil,220.11,0.0208,618.72576,778.1358181095579,0.21571798733433598,6.205567383411147,1335.6410603855065,0.1313162808377686,True
2015-05-03,Brazil,237.95,0.0187,612.8411400000001,774.4032720768671,0.2152233317992127,6.094891294281151,1332.4368776556844,0.1306531219245031,True
2015-05-10,Brazil,222.26,0.0187,612.8411400000001,785.1653579312409,0.2156768098122574,6.0357508272506495,1343.2004772553605,0.13154575475183752,True
2015-05-17,Brazil,228.93,0.0187,612.8411400000001,778.9088742229528,0.215808632404222,5.468223330610242,1336.9459930003566,0.130719916603832,True
2015-05-24,Brazil,220.46,0.0187,612.8411400000001,754.3264961250642,0.2180727412753234,5.614899382679133,1312.342080075009,0.13050190178071294,True
2015-05-31,Brazil,231.01,0.0212,619.8466400000001,720.132232808983,0.22228377194009832,5.885534915659204,1277.4712686410332,0.13074504822720778,True
2015-06-07,Brazil,247.9,0.0212,619.8466400000001,728.3756619705233,0.2226645581414575,5.863339376158497,1285.7160321251447,0.13152744090214366,True
2015-06-14,Brazil,242.18,0.0212,619.8466400000001,734.2834527652882,0.22254598439392168,5.639079082667099,1291.6300222805557,0.13168499220332036,True
2015-06-21,Brazil,240.17,0.0212,619.8466400000001,739.252408752324,0.22269562021170294,5.517360826083393,1296.601514173919,0.1320125911692227,True
2015-06-28,Brazil,256.0898,0.0212,619.8466400000001,731.6959320257795,0.22215523010084678,5.365998959550843,1289.04724888105,0.13104339880105667,True
2015-07-05,Brazil,249.89,0.0219,621.8081800000001,763.9461349960022,0.21253557661548278,5.892196739957852,1321.1696422901425,0.12836372521667488,True
2015-07-12,Brazil,251.79,0.0219,621.8081800000001,758.0071788817905,0.21260086704038628,6.72277147135798,1315.2219823300047,0.12876157408297623,True
2015-07-19,Brazil,262.49,0.0219,621.8081800000001,751.1821685885069,0.2126993796735222,5.990061358537994,1308.400355249416,0.1277103278889077,True
2015-07-26,Brazil,293.25,0.0219,621.8081800000001,713.680534038896,0.21815846569938172,6.473522989525034,1270.849007943312,0.12857338059106332,True
2015-08-02,Brazil,288.8699,0.0243,628.5334600000001,685.5660654790098,0.2212006766170015,6.453318164392281,1242.0077511517663,0.1281975664313218,True
2015-08-09,Brazil,327.8999,0.0243,628.5334600000001,668.7957436491321,0.22206499123378165,6.717159407258605,1225.217168493422,0.12761431455054228,True
2015-08-16,Brazil,300.5698,0.0243,628.5334600000001,673.1349177885235,0.2218927367147128,6.689096386893115,1229.5607519216696,0.12783287741224147,True
2015-08-23,Brazil,336.74,0.0243,628.5334600000001,670.0154035228978,0.22186795188814357,7.1079632624115625,1226.4333632795128,0.1279602907458514,True
2015-08-30,Brazil,327.0698,0.0243,628.5334600000001,654.7462013535078,0.22203384558051906,7.86729646354631,1211.1407784932649,0.12755065197906093,True
2015-09-06,Brazil,375.1199,0.0216,620.96752,617.5509361548953,0.22828646428793858,7.62031732864934,1174.6274932369313,0.12741281604827182,True
2015-09-13,Brazil,392.8799,0.0216,620.96752,613.3726804742439,0.225191381008471,7.657518876339358,1170.4803175452937,0.1255187787217392,True
2015-09-20,Brazil,390.3398,0.0216,620.96752,601.645076437711,0.2255115770352448,7.239402638088533,1158.7478971640094,0.12427725833205268,True
2015-09-27,Brazil,489.5098,0.0216,620.96752,596.8258384467869,0.22494397695592808,7.446587043899864,1153.9263487464825,0.12376700240196582,True
2015-10-04,Brazil,521.3599,0.0217,621.24774,629.8653312167867,0.21453007203237195,6.906689065808818,1187.067285350095,0.12075869663565832,True
2015-10-11,Brazil,410.8398,0.0217,621.24774,657.8086999439012,0.21946956161412873,6.899967454445317,1214.9884447414654,0.12549597657846284,True
2015-10-18,Brazil,435.3699,0.0217,621.24774,631.2278182270461,0.2223334094435801,6.538639892319442,1188.371966983762,0.12451504501100193,True
2015-10-25,Brazil,445.24,0.0217,621.24774,638.3622952781468,0.22280107060469334,6.755317261802525,1195.503177865693,0.125543649882118,True
2015-11-01,Brazil,429.6699,0.0204999999999999,617.8850999999997,657.4477431339062,0.22518471189164835,6.804680741458663,1214.8969661909532,0.12834368395474588,True
2015-11-08,Brazil,401.45,0.0204999999999999,617.8850999999997,672.3050328394886,0.2250613893351277,6.568956853222571,1229.7691455752563,0.12924145574680393,True
2015-11-15,Brazil,426.99,0.0204999999999999,617.8850999999997,659.2985659548862,0.22524720690729844,7.286065084340796,1216.7401517865144,0.12896034235216722,True
2015-11-22,Brazil,388.6199,0.0204999999999999,617.8850999999997,684.271996452476,0.2258486682384776,7.138079201284263,1241.727353674709,0.1310982107215376,True
2015-11-29,Brazil,415.4199,0.0204999999999999,617.8850999999997,659.1464434849188,0.22691194012942992,7.509415947519521,1216.5669594408616,0.13002249468514537,True
2015-12-06,Brazil,435.1199,0.022,622.0884000000001,669.3568560065518,0.22765777777836743,7.194900439028666,1226.3818932762847,0.13098556183311716,True
2015-12-13,Brazil,485.73,0.022,622.0884000000001,648.4614296962083,0.22842290710541424,8.15937920832948,1205.4431188381948,0.130568966704484,True
2015-12-20,Brazil,490.2798,0.022,622.0884000000001,630.6551107040242,0.22969986553590352,7.6356439576314905,1187.6168904067192,0.1292787794330635,True
2015-12-27,Brazil,482.5698,0.022,622.0884000000001,636.4314906430177,0.2300775465646881,7.1246971348104156,1193.4048065874674,0.1295000200066682,True
2016-01-03,Brazil,488.99,0.0215,598.55502,673.0658874179516,0.23425940875755735,7.32046112687203,1210.3084826188708,0.13687119197219005,True
2016-01-10,Brazil,480.7998,0.0215,598.55502,662.4026128910117,0.2328826309525854,8.349554596247506,1199.6327738707873,0.1361459159442812,True
2016-01-17,Brazil,491.73,0.0215,598.55502,658.5638340682401,0.23275370350477095,8.955246767508955,1195.7802002462374,0.1362852596518789,True
2016-01-24,Brazil,468.7998,0.0215,598.55502,651.0728837055068,0.23192858544056688,8.932731911791404,1188.2927086665813,0.13521662279843977,True
2016-01-31,Brazil,462.6299,0.0227,601.797756,656.3992234271914,0.2287548040072839,8.932731911791404,1193.3396694090868,0.13400082222871537,True
2016-02-07,Brazil,456.8398,0.0227,601.797756,672.4102408402954,0.22796248478092537,9.38986225798762,1209.364114262744,0.1352387915164878,True
2016-02-14,Brazil,482.0298,0.0227,601.797756,655.7692817507317,0.2285154882707002,10.41418898428237,1192.6841020032746,0.1351104501064131,True
2016-02-21,Brazil,457.5898,0.0227,601.797756,652.6983160364913,0.22834659177017344,8.991333019235885,1189.6390078118382,0.1335392583918306,True
2016-02-28,Brazil,446.2998,0.0227,601.797756,657.3178883364002,0.22628725538141753,8.744370122299545,1194.2880441219907,0.1326039968650578,True
2016-03-06,Brazil,395.75,0.0197,593.690916,713.3985482530566,0.22968242679849227,7.9029090792241785,1251.1605821763244,0.13793934087451057,True
2016-03-13,Brazil,376.23,0.0197,593.690916,748.6916758814381,0.2265759865235504,7.725174852694362,1286.5041293773068,0.1385923009348859,True
2016-03-20,Brazil,351.1399,0.0197,593.690916,740.0293049166551,0.22693566703155427,7.143653713541549,1277.8413628263177,0.1376986459430714,True
2016-03-27,Brazil,382.3599,0.0197,593.690916,728.0682601051585,0.22750960015066776,7.141424004798154,1265.8691616128933,0.13716307145562623,True
2016-04-03,Brazil,351.5698,0.0183,589.907724,715.0007007662629,0.21248206863916977,7.452104909276732,1253.2190418362268,0.12818755783789956,True
2016-04-10,Brazil,374.0298,0.0183,589.907724,707.7843748109319,0.21211902795609267,7.414559413685488,1246.0023186197814,0.12745952030098445,True
2016-04-17,Brazil,336.21,0.0183,589.907724,719.1678750598251,0.21244310364328117,7.835936017453294,1257.3845557229315,0.12879554811787797,True
2016-04-24,Brazil,349.49,0.0183,589.907724,712.840885009317,0.21024758390295117,6.806923993124431,1251.07479179351,0.12623387734708058,True
2016-05-01,Brazil,330.8198,0.0179,588.826812,726.4082955522069,0.2112185254256407,6.868591485912299,1264.730767448393,0.12773327725803643,True
2016-05-08,Brazil,330.6199,0.0179,588.826812,712.6068872554025,0.2114004103198356,6.862987239483793,1250.9241232123293,0.1268908374814963,True
2016-05-15,Brazil,320.6599,0.0179,588.826812,706.2178085009067,0.21143256947374603,6.762049891871897,1244.5336126492596,0.12637532008996602,True
2016-05-22,Brazil,338.74,0.0179,588.826812,708.9631158373516,0.20924455318015128,6.604888887842859,1247.291228269813,0.1252278173645574,True
2016-05-29,Brazil,341.5598,0.0179,588.826812,691.0437467150283,0.20566801697000203,6.133990617662887,1229.3851223721924,0.12161389146535063,True
2016-06-05,Brazil,328.3799,0.0187999999999999,591.2588639999998,712.9030637916527,0.20779893366108823,6.004542218179782,1251.0392550103832,0.12416849703682929,True
2016-06-12,Brazil,337.8699,0.0187999999999999,591.2588639999998,734.8350642124823,0.20990240230342003,6.580185606860099,1272.9645265664765,0.12732427170424343,True
2016-06-19,Brazil,330.6199,0.0187999999999999,591.2588639999998,735.3877606488413,0.20979201591419533,6.737361886348137,1273.5167308621978,0.12744190891641247,True
2016-06-26,Brazil,334.9299,0.0187999999999999,591.2588639999998,744.6328651760994,0.20990168587114166,6.959317406638849,1282.7623885286682,0.12830734633706575,True
2016-07-03,Brazil,320.6899,0.0185,590.44818,838.5987126750822,0.23748164948782116,6.157465760331858,1376.6666604608517,0.14966323819472452,True
2016-07-10,Brazil,300.2798,0.0185,590.44818,822.2343547021005,0.23826906159724318,6.744095430690235,1360.2787966495964,0.14951809250446457,True
2016-07-17,Brazil,290.8899,0.0185,590.44818,826.8749934287168,0.23805464013781136,6.211163337210338,1364.9307851128044,0.14928245653368674,True
2016-07-24,Brazil,279.3298,0.0185,590.44818,833.3610325593262,0.23187828967575796,6.456685472277234,1371.469070260058,0.14622142249660347,True
2016-07-31,Brazil,283.3899,0.0146,579.9092880000001,856.0886147894605,0.2288286699020981,6.707057216396906,1395.0270289111602,0.14593355453932189,True
2016-08-07,Brazil,262.96,0.0146,579.9092880000001,878.420394165314,0.22786665361027097,6.754195121938656,1417.372738379042,0.14672199516477927,True
2016-08-14,Brazil,252.31,0.0146,579.9092880000001,871.1340602451255,0.22826567757117566,6.336639863262948,1410.0848034260794,0.14620407167734045,True
2016-08-21,Brazil,248.55,0.0146,579.9092880000001,868.0471019502801,0.2282213200527254,6.012341960187532,1406.9997083466244,0.14573696050231588,True
2016-08-28,Brazil,254.44,0.0146,579.9092880000001,851.6389453026801,0.22775820956242251,6.142932201844895,1390.5874760091278,0.1445743860929275,True
2016-09-04,Brazil,252.05,0.0151,581.260428,853.8223095935089,0.2183810929948001,6.43311583386347,1392.7258144114169,0.13936127805726048,True
2016-09-11,Brazil,252.05,0.0151,581.260428,849.4565677918105,0.21828634409627273,6.554359629652929,1388.3585871715084,0.13915163242059034,True
2016-09-18,Brazil,268.47,0.0151,581.260428,852.4319458361765,0.21674879880965875,6.570079725256821,1391.3412537150348,0.138426301166826,True
2016-09-25,Brazil,268.2598,0.0151,581.260428,856.9367241888109,0.2162337567271267,7.021960531675617,1395.8465808792967,0.13875514626927465,True
2016-10-02,Brazil,265.8899,0.0157,582.881796,899.8412610629692,0.21517744559197968,6.508324930139606,1438.651753272883,0.14007985557419866,True
2016-10-09,Brazil,264.8899,0.0157,582.881796,911.0188667165237,0.21201680379399593,6.20444825849329,1449.8426984454602,0.13850348632225049,True
2016-10-16,Brazil,263.1099,0.0157,582.881796,915.3608237266999,0.20642313045807742,6.087075514249837,1454.199789832756,0.135229457233057,True
2016-10-23,Brazil,255.5,0.0157,582.881796,931.0270740335343,0.20661842368121958,5.749306071098592,1469.8684632075608,0.13584500141233766,True
2016-10-30,Brazil,269.8699,0.0157,582.881796,914.9500980424041,0.20680025519160433,6.334397348903136,1453.7873847535652,0.13564742325434273,True
2016-11-06,Brazil,278.3899,0.0163,584.503164,890.1698570851509,0.20886054000062446,6.999596490295166,1428.876388654965,0.13618632216189192,True
2016-11-13,Brazil,306.5598,0.0163,584.503164,848.7485337466915,0.2141087389539741,7.180424933531385,1387.428828281286,0.1371881107918595,True
2016-11-20,Brazil,305.8198,0.0163,584.503164,850.7346845689655,0.21156572659462602,7.319352199901256,1389.4240642767809,0.13592221578213412,True
2016-11-27,Brazil,303.1599,0.0163,584.503164,841.0917775332654,0.20791886749310065,8.071208744565318,1379.787627061646,0.13389603271784717,True
2016-12-04,Brazil,308.7998,0.0183,589.907724,834.838650209767,0.20797634656076436,6.082609987083842,1373.113884321197,0.13189416733204787,True
2016-12-11,Brazil,286.6299,0.0183,589.907724,858.8047545845093,0.20604558597042122,6.049133648273749,1397.089049432665,0.13205770495777677,True
2016-12-18,Brazil,286.0698,0.0183,589.907724,855.3810255181966,0.20348635843501905,5.384442899439049,1393.6731089134073,0.12977123556584308,True
2016-12-25,Brazil,276.1799,0.0183,589.907724,887.0360133273921,0.20573875197109456,5.46277140025315,1425.3267707774442,0.13287200561965687,True
2017-01-01,Brazil,274.3599,0.0245,606.66186,826.703488523307,0.21336888468127707,5.564428939470705,1363.3532411130016,0.13428632926275366,True
2017-01-08,Brazil,253.99,0.0245,615.8495224999999,849.2098709277161,0.21358972239606078,5.525015579297596,1393.988456049118,0.13496076606169746,True
2017-01-15,Brazil,246.19,0.0245,615.8495224999999,849.9765034868059,0.21335570699887726,5.5534731321585555,1394.7559356232466,0.13489066909326747,True
2017-01-22,Brazil,248.99,0.0245,615.8495224999999,863.9949280072626,0.21299475537274534,5.385528447512952,1408.7792174009958,0.1353293948458485,True
