date,Copper_cash,Copper_12m,Nickel_cash,Nickel_12m,CokingCoal_12m,CokingCoal_cash,IronOre_cash,IronOre_12m,ThermalCoal_cash,ThermalCoal_12m,Platinum_cash,Platinum_12m,NatGas_cash,NatGas_12m
26.12.2003,2242,2187.75,15902,14000,,,,,,,821.5,,6.379,5.611
02.01.2004,2353.75,2288,16923,15055,,,,,,,811.3,,6.189,5.6
09.01.2004,2420.25,2347,16147,14450,,,,,,,845,,7.287,5.98
16.01.2004,2393,2315,14815,13450,,,,,,,851.9,,5.94,5.855
23.01.2004,2468.25,2366.5,14975,13175,,,,,,,856.5,,6.059,5.816
30.01.2004,2516,2396.25,15510,13550,,,,,,,830.3,,5.397,5.55
06.02.2004,2586,2456,15175,13075,,,,,,,826.7,,5.354,5.654
13.02.2004,2716,2523,15495,13305,,,,,,,845.6,,5.536,5.737
20.02.2004,2900,2650,15180,12890,,,,,,,839.2,,5.193,5.614
27.02.2004,2971,2738,14630,12865,,,,,,,887.4,,5.416,5.687
05.03.2004,2964.5,2727,13400,12590,,,,,,,887,,5.443,5.798
12.03.2004,2916,2675,12945,12050,,,,,,,907.1,,5.596,5.904
19.03.2004,3070.5,2751,14215,12645,,,,,,,890,,5.582,5.932
26.03.2004,3048.5,2705,14265,12765,,,,,,,912.1,,5.395,5.867
02.04.2004,3020.5,2694.5,14360,12650,,,,,,,896.8,,5.812,5.39
09.04.2004,2920,2585,13806,12855,,,,,,,900.2,,5.941,5.472
16.04.2004,2982,2626,13135,12345,,,,,,,918,,5.61,5.375
23.04.2004,2774,2436,12014,11250,,,,,,,842.5,,5.571,5.403
30.04.2004,2752,2392,11157,10500,,,,,,,794.2,,5.862,5.281
07.05.2004,2665,2358,10956,10305,,,,,,,779,,6.294,5.464
14.05.2004,2659,2353,10910,10140,,,,,,,793.7,,6.401,5.719
21.05.2004,2743,2428,11673,10640,,,,,,,817.1,,6.353,5.759
28.05.2004,2833,2563,12235,11215,,,,,,,829.2,,6.442,5.877
04.06.2004,2739,2509,11920,10755,,,,,,,829.6,,6.261,5.884
11.06.2004,2588,2382,12880,11655,,,,,,,797.6,,6.176,5.81
18.06.2004,2650.5,2409,14760,12210,,,,,,,809.3,,6.52,5.943
25.06.2004,2706.5,2453.5,14975,12645,,,,,,,806.5,,6.353,5.97
02.07.2004,2728.5,2451,15290,12990,,,,,,,773,,6.148,5.918
09.07.2004,2843.5,2566.5,15630,13420,,,,,,,808.8,,6.141,6.037
16.07.2004,2902,2597,14880,13015,,,,,,,821,,5.887,5.938
23.07.2004,2776,2493,14155,12125,,,,,,,816,,6.134,6.015
30.07.2004,2910,2575,13965,12200,,,,,,,817.9,,6.112,6.139
06.08.2004,2815,2552,12880,11950,,,,,,,832,,5.588,6.15
13.08.2004,2906,2626,13405,12470,,,,,,,864.2,,5.533,6.044
20.08.2004,2812,2511,13795,12360,,,,,,,854.3,,5.552,6.093
27.08.2004,2813,2520,12830,11790,,,,,,,864.5,,5.082,6.05
03.09.2004,2732,2480.5,12375,11570,,,,,,,859.4,,4.675,5.95
10.09.2004,2828,2571.5,12235,11400,,,,,,,834.5,,4.57,6.044
17.09.2004,2853,2562,12880,11980,,,,,,,843.1,,5.108,5.995
24.09.2004,2970,2595,14645,13350,,,,,,,857.3,,5.392,6.148
01.10.2004,3046,2614,16055,14290,,,,,,,860.4,,6.772,6.388
08.10.2004,3211,2628,17040,14100,,,,,,,843,,7.163,6.72
15.10.2004,2883,2513,13955,12810,,,,,,,847,,6.709,6.66
22.10.2004,2873,2505,13290,12255,,,,,,,844.9,,8.105,7.15
29.10.2004,2973,2566,13920,12915,,,,,,,833,,8.725,7.503
05.11.2004,3012,2621,14398,13350,,,,,,,851.9,,7.954,7.307
12.11.2004,3086,2648,14750,13550,,,,,,,874.2,,7.176,7.016
19.11.2004,3169,2658,14093,13130,,,,,,,859.7,,7.115,7.001
26.11.2004,3215,2705,14393,13285,,,,,,,862.4,,7.976,7.364
03.12.2004,3041,2646,13035,12470,,,,,,,874.8,,6.796,6.886
10.12.2004,2927,2618.5,12480,12045,,,,,,,828.4,,6.843,7.066
17.12.2004,3121,2730,13565,12925,,,,,,,837.1,,7.457,7.4
24.12.2004,3151,2746,14687,14150,,,,,,,840.2,,6.668,7.087
31.12.2004,3231,2813,15245,14380,,,,,,,863.7,,6.149,7.1
07.01.2005,3014.5,2662,14555,13990,,,,,,,840.7,,6.001,7.085
14.01.2005,3075,2731,14803,13970,,,,,,,855.3,,6.395,7.249
21.01.2005,3178,2788,14085,13390,,,,,,,869.3,,6.24,7.173
28.01.2005,3200,2807.5,14465,13640,,,,,,,872.3,,6.259,7.25
04.02.2005,3041,2731,14525,13585,,,,,,,866,,6.096,7.221
11.02.2005,3128,2808,15390,14235,,,,,,,871.2,,6.093,7.261
18.02.2005,3239,2843,15335,13945,,,,,,,865.5,,5.908,7.228
25.02.2005,3289,2883,15965,13860,,,,,,,859,,6.715,7.705
04.03.2005,3277,2910,16300,14410,,,,,,,870.5,,6.744,7.852
11.03.2005,3321,2953,16115,14365,,,,,,,870.2,,6.772,7.829
18.03.2005,3356,2943,16095,14205,,,,,,,880,,7.273,8.302
25.03.2005,3317,2909,16185,14215,,,,,,,862.5,,7.062,8.193
01.04.2005,3369,2959,16160,14515,,,,,,,862.8,,7.749,7.428
08.04.2005,3363,2958,16360,14905,,,,,,,860.3,,7.242,7.296
15.04.2005,3229,2825,15590,14310,,,,,,,864.6,,6.997,7.063
22.04.2005,3392.5,2948,16220,14800,,,,,,,876,,7.195,7.306
29.04.2005,3339,2903,16250,14660,,,,,,,868.6,,6.585,6.787
06.05.2005,3247,2899,16185,14740,,,,,,,874.8,,6.621,6.714
13.05.2005,3087,2741,17005,15015,,,,,,,865.4,,6.536,6.75
20.05.2005,3124,2710,16320,14600,,,,,,,862.5,,6.343,6.735
27.05.2005,3225,2730,16805,14840,,,,,,,864.7,,6.123,6.832
03.06.2005,3393,2865,16980,15155,,,,,,,875.5,,6.88,7.049
10.06.2005,3430,2826,16175,14715,,,,,,,871.6,,6.932,7.26
17.06.2005,3553,2802,16455,15020,,,,,,,898.1,,7.69,7.661
24.06.2005,3532,2794,14700,13670,,,,,,,896,,7.36,7.669
01.07.2005,3292,2770,14620,13810,,,,,,,870.9,,7.171,7.765
08.07.2005,3469,2847,14895,13870,,,,,,,862.2,,7.472,7.826
15.07.2005,3499,2858,14495,13680,,,,,,,865.5,,7.849,7.802
22.07.2005,3611,2910,14365,13215,,,,,,,890.6,,7.384,7.693
29.07.2005,3694,2995,14445,13325,,,,,,,897.9,,7.885,7.985
05.08.2005,3675,3060,14370,13410,,,,,,,910.5,,8.7,8.312
12.08.2005,3705,3132,15410,14100,,,,,,,923.2,,9.588,8.669
19.08.2005,3695,3095,14960,13745,,,,,,,889.3,,9.111,8.559
26.08.2005,3753,3149,14905,13831,,,,,,,897.8,,9.792,8.899
02.09.2005,3784,3217,15355,14147,,,,,,,911.5,,11.691,9.353
09.09.2005,3644,3117,14475,13415,,,,,,,916.4,,11.263,9.448
16.09.2005,3616,3094,13315,12530,,,,,,,923.8,,11.144,9.773
23.09.2005,3852,3237,13775,12950,,,,,,,927,,12.324,10.144
30.09.2005,3896.5,3293.5,13540,13035,,,,,,,930.3,,13.921,10.635
07.10.2005,4028,3423,13151,12785,,,,,,,939.1,,13.226,10.281
14.10.2005,3922,3335,12222,11990,,,,,,,927.3,,13.219,10.509
21.10.2005,3976,3310,12010,11770,,,,,,,932.8,,12.872,10.405
28.10.2005,4021.5,3362.5,11990,11810,,,,,,,941.8,,13.055,11.052
04.11.2005,4083,3467,11702,11370,,,,,,,934.8,,11.415,10.264
11.11.2005,4229,3595,11866,11540,,,,,,,971.9,,11.712,10.451
18.11.2005,4349,3633,12400,11911,,,,,,,986.1,,11.414,10.642
25.11.2005,4387,3689,13098,12565,,,,,,,984.3,,11.62,10.72
02.12.2005,4494,3868,13085,12723,,,,,,,1007.9,,13.931,11.815
09.12.2005,4562,4005,14245,13890,,,,,,,1006.9,,14.312,11.746
16.12.2005,4581.5,4017,13945,13750,,,,,,,961,,13.633,11.59
23.12.2005,4585.5,3959.5,13498,13423,,,,,,,965.3,,12.283,11.489
30.12.2005,4538,3915,13394,13425,,,,,,,973,,11.225,11.879
06.01.2006,4595,4071,14292,14175,,,,,,,1004.6,,9.632,11.282
13.01.2006,4700,4175,14837,14700,,,,,,,1043.6,,8.791,10.944
20.01.2006,4636,4072,14505,14410,,,,,,,1036.2,,9.28,11.675
27.01.2006,4929,4425,15308,14970,,,,,,,1072.7,,8.4,11.455
03.02.2006,5067,4659,15115,14915,,,,,,,1082.7,,8.613,11.296
10.02.2006,4881,4554,14775,14425,,,,,,,1040.1,,7.316,10.414
17.02.2006,4864,4468,15000,14615,,,,,,,1011,,7.182,10.36
24.02.2006,4922,4509,14968,14595,,,,,,,1036,,7.112,10.7
03.03.2006,5005,4630,15121,14660,,,,,,,1062.5,,6.79,10.267
10.03.2006,4879.5,4529,14930,14461,,,,,,,1012.7,,6.646,10.282
17.03.2006,5189,4782,14885,14320,,,,,,,1034,,7.053,10.645
24.03.2006,5304,4936,15197,14430,,,,,,,1051.6,,7.29,10.933
31.03.2006,5440,5095,15186,14540,,,,,,,1059.4,,7.21,9.075
07.04.2006,5749,5470,16770,16210,,,,,,,1077,,6.743,9.055
14.04.2006,6224,5811,17785,16935,,,,,,,1089.2,,7.135,9.335
21.04.2006,6857,6351,19540,17600,,,,,,,1139.2,,7.981,9.939
28.04.2006,7118,6410,19395,17470,,,,,,,1163.3,,6.555,9.183
05.05.2006,7728,6970,19590,17720,,,,,,,1189.1,,6.775,9.085
12.05.2006,8574,7652,21520,18690,,,,,,,1318.5,,6.28,9.02
19.05.2006,7646,6853,20815,17940,,,,,,,1313.4,,5.962,8.787
26.05.2006,8349,7469,23900,19800,,,,,,,1298.1,,5.925,8.189
02.06.2006,7938,7180,21695,18840,,,,,,,1244.9,,6.623,8.398
09.06.2006,7288,6680,19980,17600,,,,,,,1190.2,,6.172,8.126
16.06.2006,7071,6425,19530,16960,,,,,,,1144.6,,7.185,8.655
23.06.2006,6885,6162,19840,17000,,,,,,,1166.9,,6.226,8.263
30.06.2006,7425,6738,22125,18730,,,,,,,1246.7,,6.104,8.394
07.07.2006,7811,7110,24770,20335,,,,,,,1243.7,,5.523,8.2
14.07.2006,8160,7377,27050,21470,,,,,,,1267.5,,6.347,8.585
21.07.2006,7102,6480,25450,19600,,,,,,,1220.5,,6.139,8.386
28.07.2006,7743,7065,25825,21090,,,,,,,1233.7,,7.184,8.729
04.08.2006,7915,7324,26450,21925,,,,,,,1256,,7.246,8.683
11.08.2006,7616,7058,27175,22875,,,,,,,1254.4,,7.269,8.725
18.08.2006,7527,6968,29500,23800,,,,,,,1223.6,,6.731,8.526
25.08.2006,7585,7110,31800,24495,,,,,,,1233,,7.157,8.804
01.09.2006,7614,7132,30125,24399,,,,,,,1254.8,,5.877,8.612
08.09.2006,7839,7318,28750,24480,,,,,,,1229.5,,5.675,8.395
15.09.2006,7281,6900,26300,22300,,,,,,,1163.7,,4.982,7.714
22.09.2006,7583,7080,29150,23785,,,,,,,1148.1,,4.627,7.411
29.09.2006,7569,7088,31000,25340,,,,,,,1141.2,,5.62,7.618
06.10.2006,7479,7006,30475,23325,,,,,,,1080.8,,6.427,7.939
13.10.2006,7493,7001,32225,23685,,,,,,,1083.3,,5.659,7.74
20.10.2006,7590,7075,33675,25450,,,,,,,1082.1,,7.241,8.106
27.10.2006,7489,7082,31900,26200,,,,,,,1079.7,,7.153,7.893
03.11.2006,7341,7048,31750,27675,,,,,,,1209.4,,7.884,8.666
10.11.2006,6916.5,6735,29825,26260,,,,,,,1209.6,,7.794,8.574
17.11.2006,6781,6666,30350,26150,,,,,,,1192.1,,8.179,8.802
24.11.2006,7136,7008,34170,29350,,,,,,,1154,,7.718,8.603
01.12.2006,6990,6913,34400,30125,,,,,,,1154.5,,8.422,9.338
08.12.2006,6867.5,6796,34835,30485,,,,,,,1107.8,,7.561,9.204
15.12.2006,6628,6550,34950,29850,,,,,,,1104.5,,7.409,9.089
22.12.2006,6313,6290,33975,28775,,,,,,,1121.5,,6.635,8.705
29.12.2006,6318,6285,34025,29175,,,,,,,1139.3,,6.299,8.888
05.01.2007,5606,5541,33725,29160,,,,,,,1112,,6.184,8.757
12.01.2007,5749,5560,33970,26690,,,,,,,1152.1,,6.601,8.922
19.01.2007,5588,5435,37485,29650,,,,,,,1168.5,,6.886,8.98
26.01.2007,5791,5580,40225,31665,,,,,,,1181.5,,7.175,9.036
02.02.2007,5332,5235,38625,31320,,,,,,,1163.5,,7.476,9.199
09.02.2007,5565,5448,37310,30025,,,,,,,1201.8,,7.827,9.682
16.02.2007,5795,5675,40500,33000,,,,,,,1210.4,,7.503,9.473
23.02.2007,6294,6107,42825,34600,,,,,,,1237.6,,7.755,9.613
02.03.2007,6018,5862,42400,34960,,,,,,,1211.8,,7.243,9.069
09.03.2007,6126,5953,43800,36980,,,,,,,1203.7,,7.083,9.027
16.03.2007,6645,6330,49625,41300,,,,,,,1221.2,,6.924,8.996
23.03.2007,6765,6395,44150,35430,,,,,,,1233.4,,7.269,9.369
30.03.2007,6896,6533,46750,39050,,,,,,,1254.8,,7.73,8.095
06.04.2007,7366,6946,50875,42825,,,,,,,1265.9,,7.607,8.145
13.04.2007,7735,7247,47850,40400,,,,,,,1286.4,,7.801,8.248
20.04.2007,7987,7314,50225,40625,,,,,,,1341.2,,7.381,8.052
27.04.2007,7786,7300,50300,41600,,,,,,,1293,,7.831,8.201
04.05.2007,8352,7838,52850,43215,,,,,,,1328.8,,7.938,8.286
11.05.2007,7935,7441,52180,43970,,,,,,,1341.7,,7.899,8.288
18.05.2007,7315,6831,52175,43550,,,,,,,1326.2,,7.944,8.299
25.05.2007,7255,6793,47875,40825,,,,,,,1277.8,,7.64,8.27
01.06.2007,7494,7007,48300,41825,,,,,,,1295.6,,7.878,8.41
08.06.2007,7188,7010,42900,38925,,,,,,,1286.8,,7.663,8.347
15.06.2007,7554,7025,42580,38100,,,,,,,1286,,7.918,8.614
22.06.2007,7483,6992,37825,34850,,,,,,,1308,,7.13,8.112
29.06.2007,7647,7130,36325,34520,,,,,,,1279,,6.773,8.033
06.07.2007,7917,7405,35450,33550,,,,,,,1313.6,,6.444,7.763
13.07.2007,7948,7402,32750,30730,,,,,,,1329.5,,6.662,7.982
20.07.2007,8191,7584,35275,31900,,,,,,,1348.6,,6.446,8.118
27.07.2007,7849,7293,30560,29385,,,,,,,1288.7,,6.11,8.143
03.08.2007,7731,7254,29210,28705,,,,,,,1296,,6.09,8.047
10.08.2007,7518,7120,26500,26610,,,,,,,1277.3,,6.82,8.146
17.08.2007,7068,6661,25865,26020,,,,,,,1229.6,,7.01,8.129
24.08.2007,7379,6990,27520,27725,,,,,,,1245,,5.523,7.624
31.08.2007,7524,7144,29600,29750,,,,,,,1271.6,,5.468,7.567
07.09.2007,7212,6892.5,26880,27220,,,,,,,1295,,5.501,7.562
14.09.2007,7588.5,7287,28460,28750,,,,,,,1299.2,,6.279,7.831
21.09.2007,7916,7571,32085,32250,,,,,,,1331.6,,6.08,7.862
28.09.2007,8068,7658,30305,30400,,,,,,,1395.2,,6.87,7.92
05.10.2007,8239,7853,31255,31500,,,,,,,1387.8,,7.073,8.007
12.10.2007,8095,7774,31795,31915,,,,,,,1414.2,,6.974,7.915
19.10.2007,7898.5,7585,32015,32290,,,,,,,1448.6,,7.041,7.983
26.10.2007,7900.5,7620,31560,32010,,,,,,,1469.1,,7.218,8.096
02.11.2007,7442,7297,32020,32510,,,,,,,1462.7,,8.418,8.844
09.11.2007,7012.5,6998,33670,34020,,,,,,,1426,,7.897,8.608
16.11.2007,7013,7070,31050,31435,,,,,,,1453.2,,8.001,8.588
23.11.2007,6690.5,6698,28926,29040,,,,,,,1480.5,,7.7,8.431
30.11.2007,6970.5,6996,26820,27445,,,,,,,1444.1,,7.302,8.479
07.12.2007,6888,6807,27205,27185,,,,,,,1462.2,,7.155,8.491
14.12.2007,6516,6807,26350,27185,,,,,,,1479.2,,7.025,8.408
21.12.2007,6780,6813,26725,27190,,,,,,,1536.3,,7.19,8.573
28.12.2007,6810,6830,26155,26655,,,,,,,1540.5,,7.386,8.961
04.01.2008,6895,6913,28075,28440,,,,,,,1547.1,,7.841,9.029
11.01.2008,7288,7280,28515,28840,,,,,,,1569.4,,8.21,9.237
18.01.2008,7157,6982,28592,28980,,,,,,,1565.5,,7.993,9.031
25.01.2008,7039,6871,26700,27000,,,,,,,1680.1,,7.983,9.02
01.02.2008,7236,7080,27890,28145,,,,,,,1770.2,,7.74,8.966
08.02.2008,7730,7465,28180,28090,,,,,,,1884,,8.301,9.483
15.02.2008,7751,7503,27480,27570,,,,,,,2063.7,,8.66,9.785
22.02.2008,8366,7965,28250,28085,,,,,,,2167.8,,9.146,10.188
29.02.2008,8486,8058,31365,30765,,,,,,,2180.7,,9.366,10.262
07.03.2008,8592,8241,33240,33110,,,,,,,2041.7,,9.769,10.489
14.03.2008,8429,8076,32450,32405,,,,,,,2076,,9.868,10.821
21.03.2008,7922,7538,28440,28330,,,,,,,1877.3,,9.065,9.965
28.03.2008,8496,8084,30325,30180,,,,,,,2037.8,,9.8,9.085
04.04.2008,8728,8356,29090,29000,,,,,,,2030.5,,9.322,8.787
11.04.2008,8725,8340,28385,28400,,,,,,,2028.1,,9.901,9.035
18.04.2008,8635,8256,28668,28628,,,,,,,2071.3,,10.587,9.697
25.04.2008,8660.5,8294,29395,29345,,,,,,,1968,,10.963,9.999
02.05.2008,8465.5,8113,28335,28255,,,,,,,1908.2,,10.777,9.617
09.05.2008,8156,7830,26580,26615,,,,,,,2101.8,,11.537,10.26
16.05.2008,8498,8192,26310,26355,,,,,,,2132,,11.094,10.169
23.05.2008,8241,7990,24001,24140,,,,,,,2176.3,,11.857,10.659
30.05.2008,8017,7755,21998,22200,,,,,,,2013.8,,11.703,10.408
06.06.2008,8057,7819,21935,21950,,,,,,,2081.3,,12.693,10.834
13.06.2008,8065,7744,24040,23690,,,,,,,2037,,12.625,11.04
20.06.2008,8542,8123,22300,22420,,,,,,,2062.4,,12.994,11.347
27.06.2008,8650,8234,21825,21970,,,,,,,2059.1,,13.198,11.651
04.07.2008,8550.5,8187.5,20534,20650,,,,,,,2030.4,,13.577,11.959
11.07.2008,8359,7980,21525,21660,,,,,,,2047.2,,11.904,11.173
18.07.2008,8211,7756,20308,20450,,,,,,,1855.3,,10.57,10.226
25.07.2008,8094,7666,18358,18615,,,,,,,1758.7,,9.084,9.354
01.08.2008,7979,7648,18270,18435,,,,,,,1655.3,,9.389,9.784
08.08.2008,7468,7225,18135,18220,,,,,,,1559.6,,8.248,9.04
15.08.2008,7403,7230,18710,18685,,,,,,,1388.2,,8.092,8.975
22.08.2008,7740,7477,20845,20900,,,,,,,1441.2,,7.843,8.847
29.08.2008,7556,7380,20195,20395,,,,,,,1489.8,,7.943,8.833
05.09.2008,6930,6846,18555,18815,,,,,,,1367.8,,7.449,8.629
12.09.2008,7166,7021,19195,19425,,,,,,,1210.5,,7.366,8.331
19.09.2008,7096,6988,16843,17243,,,,,,,1147,,7.531,8.484
26.09.2008,6829,6736,16835,17330,,,,,,,1113.7,,7.472,8.361
03.10.2008,6020,6033,15050,15610,,,,,,,965.8,,7.358,8.189
10.10.2008,4789.5,4822,12040,12645,,,,,,,1005.2,,6.535,7.569
17.10.2008,4806.5,4896,10645,11270,,,,,,,881,,6.786,7.519
24.10.2008,3764,3870,9866,10400,,,,,,,802.3,,6.239,7.187
31.10.2008,4097,4183,11962,12450,,,,,,,831.6,,6.783,7.816
07.11.2008,3745.5,3855,10866,11331,,,,,,,852,,6.757,7.822
14.11.2008,3798,3933,10900,11285,,,,,,,845.1,,6.312,7.446
21.11.2008,3518,3654,9907,10325,,,,,,,825.7,,6.48,7.375
28.11.2008,3676.5,3704,10161,10475,,,,,,,882.3,,6.51,7.808
05.12.2008,3041,3136,9000,9370,,,,,,,787.2,,5.742,7.257
12.12.2008,3157.5,3247,10590,10907,,,,,,,822.1,,5.488,7.142
19.12.2008,2860.5,2995,9708,10550,,,,,,,851.3,,5.334,6.873
26.12.2008,2823,2942,9556,10000,,,,,,,890.2,,5.826,7.16
02.01.2009,3217.5,3298,13161,13427,,,,,,,946.7,,5.971,7.634
09.01.2009,3383.5,3265,12132,11767,,,,,,,1005.5,,5.516,7.333
16.01.2009,3335,3418,10810,11035,,,,,,,953.3,,4.801,6.823
23.01.2009,3226.75,3317,12064,12240,,,,,,,958,,4.518,6.578
30.01.2009,3125.75,3225,11156,11325,,,,,,,991.3,,4.417,6.567
06.02.2009,3521.5,3608.5,11468,11641,,,,,,,1004.3,,4.774,6.674
13.02.2009,3405.75,3509,10275,10490,,,,,,,1061,,4.452,6.437
20.02.2009,3125.25,3379,9442,10090,,,,,,,1095.7,,4.006,6.001
27.02.2009,3426.5,3512,9941,10205,,,,,,,1085.3,,4.198,6.005
06.03.2009,3708.25,3771,9810,10025,,,,,,,1078.7,,3.945,5.713
13.03.2009,3652.5,3725,9551,9788,,,,,,,1063.6,,3.932,5.681
20.03.2009,3931.5,4015.5,9918,10155,,,,,,,1114.2,,4.227,5.928
27.03.2009,4021.75,4116.5,9631,9896,,,,,,,1128,,3.631,5.684
03.04.2009,4292.5,4346,10884,11130,,,,,,,1166.3,,3.801,5.547
10.04.2009,4544.25,4608,10982,11247,,,,,,,1195.3,,3.61,5.494
17.04.2009,4820,4789,12775,12971,,,,,,,1211.6,,3.729,5.701
24.04.2009,4483,4426,11494,11679,,,,,,,1184,,3.297,5.488
01.05.2009,4612,4566,11869,12034,,,,,,,1096.4,,3.546,5.525
08.05.2009,4677,4695,13057,13209,,,,,,,1147.1,,4.311,6.178
15.05.2009,4450,4448,12407,12547,,,,,,,1109,,4.098,5.958
22.05.2009,4607.5,4616,12738,12870,,,,,,,1160,,3.515,5.707
29.05.2009,4819,4827.5,13886,14053,,,,,,,1196,,3.835,5.926
05.06.2009,4971,4983,14555,14689,,,,,,,1286.2,,3.868,6.199
12.06.2009,5222.5,5249.5,15631,15753,,,,,,,1258.7,,3.857,6.152
19.06.2009,5017.5,5051.5,15132,15275,,,,,,,1211.2,,4.032,6.074
26.06.2009,5024,5047,15730,15895,,,,,,,1203,,3.949,6.033
03.07.2009,4973,5001.5,16159,16303,,,,,,,1193.3,,3.615,5.837
10.07.2009,4852.5,4859,14440,14637,,,,,,,1107.6,,3.373,5.571
17.07.2009,5306.5,5304,16072,16199,,,,,,,1176.1,,3.669,5.713
24.07.2009,5524,5501.5,16712,16800,,,,,,,1191.4,,3.695,5.835
31.07.2009,5724,5694,17910,17925,,,,,,,1214.2,,3.653,5.939
07.08.2009,6146,6121.5,19587,19535,,,,,,,1268.5,,3.674,5.954
14.08.2009,6250.5,6211,19537,19493,,,,,,,1261.7,,3.238,5.901
21.08.2009,6277.5,6209,19315,19120,,,,,,,1259.2,,2.804,5.726
28.08.2009,6470.5,6431,19065,18857,,,,,,,1245.9,,3.033,5.76
04.09.2009,6271.5,6226.5,17590,17510,,,,,,,1259.1,,2.728,5.36
11.09.2009,6241,6218.75,16931,16775,,,,,,,1320.7,,2.96,5.59
18.09.2009,6163.75,6159,17101,17085,,,,,,,1338.2,,3.778,5.968
25.09.2009,5983,5984.5,16837,16820,,,,,,,1284.6,,3.985,6.22
02.10.2009,5871.75,5879,17236,17295,,,,,,,1275.6,,4.718,6.33
09.10.2009,6226.5,6230,18703,18755,,,,,,,1331.6,,4.77,6.304
16.10.2009,6218,6246,18657,18658,,,,,,,1341.7,,4.781,6.43
23.10.2009,6635.25,6661.5,18943,18880,,,,,,,1363.2,,4.787,6.258
30.10.2009,6463.25,6505.5,18210,18250,,,,,,,1323.1,,5.045,6.378
06.11.2009,6477,6519,17306,17398,,,,,,,1345,,4.595,6.026
13.11.2009,6503,6554.5,16062,16189,,,,,,,1385.5,,4.392,5.846
20.11.2009,6824.75,6872.25,16554,16657,,,,,,,1438.7,,4.424,5.915
27.11.2009,6829,6892.5,16033,16151,,,,,,,1446.9,,5.192,6.64
04.12.2009,7024.5,7088,15960,16110,,,,,,,1449.7,,4.586,6.185
11.12.2009,6816,6885.25,16564,16710,,,,,,,1422.7,,5.163,6.539
18.12.2009,6822,6901,17058,17235,,,,,,,1429.3,,5.782,6.743
25.12.2009,7051,7113,18601,18782,,,,,,,1467.9,,5.643,6.69
01.01.2010,7351.5,7418,18467,18675,,,,,,,1460,,5.572,6.768
08.01.2010,7447.75,7479,17861,18001,,,,,,,1565.7,,5.749,6.893
15.01.2010,6768,7432,18552,18715,,,,,,,1592.5,,5.691,6.893
22.01.2010,6696,7390,18258,18403,,,,,,,1537.5,,5.819,6.87
29.01.2010,6058,6748,18447,18571,,,,,,,1501.3,,5.131,6.44
05.02.2010,6267.5,6311.5,17006,17172,,,,,,,1472,,5.515,6.654
12.02.2010,6799.75,6818,18593,18615,,,,,,,1508,,5.468,6.607
19.02.2010,7416.5,7438,20671,20679,,,,,,,1540.5,,5.044,6.201
26.02.2010,7175,7220.5,21113,21130,,,,,,,1538,,4.813,5.96
05.03.2010,7533.5,7564,22366,22370,,,,,,,1579.1,,4.593,5.752
12.03.2010,7429.75,7474,21720,21800,,,,,,,1608.4,,4.4,5.599
19.03.2010,7414,7478,22431,22341,,,,,,,1608.6,,4.169,5.56
26.03.2010,7491.75,7553.5,23588,23397,,,,,,,1596,,3.872,5.172
02.04.2010,7873.75,7900.5,25040,24900,,,,,,,1669.8,,4.086,5.182
09.04.2010,7908.5,7948,25166,25081,,,,,,,1722.2,,4.07,5.147
16.04.2010,7740,7787,26663.5,26540,,,,,,,1690.8,,4.039,5.117
23.04.2010,7725,7778,27001,26798,,,,,,,1740.2,,4.257,5.339
30.04.2010,7404,7471,26253,26085,,,,,,,1745.1,,3.92,5.112
07.05.2010,6927.75,6990,22513,22375,,,,,,,1664.8,,4.015,5.292
14.05.2010,6905.75,6975,21507,21490,,,,,,,1713.4,,4.312,5.331
21.05.2010,6830.5,6876.5,21300,21200,,,,,,,1499.2,,4.035,5.02
28.05.2010,6917,6981,21291,21350,,,,,,,1547.4,,4.341,5.226
04.06.2010,6264,6344,17918,18015,,,,,,,1525.3,,4.797,5.329
11.06.2010,6467,6526.5,19505,19559,,,,,,,1535,,4.781,5.32
18.06.2010,6418.75,6494.5,19543,19620,,,,,,,1587,,4.997,5.338
25.06.2010,6751.75,6809,19697,19807,,,,,,,1570.4,,4.861,5.355
02.07.2010,6396.25,6459.5,18769,18869,,,,,,,1499.2,,4.687,5.218
09.07.2010,6748.25,6787,19467,19575,,,,,,,1533.2,,4.402,5.192
16.07.2010,6473.75,6504,18909,19028,,,,,,,1512.1,,4.519,5.081
23.07.2010,7018.25,7040,20303,20390,,,,,,,1538.7,,4.58,5.103
30.07.2010,7281.75,7308.5,21095,21159,,,,,,,1576.8,,4.923,5.187
06.08.2010,7357.5,7389,22068,22121,,,,,,,1570.8,,4.467,5.038
13.08.2010,7142.5,7189,21233,21312,,,,,,,1526.2,,4.328,4.948
20.08.2010,7245,7266,21509,21400,,,,,,,1513.9,,4.117,4.751
27.08.2010,7453.25,7469.25,21009,20945,,,,,,,1537,,3.651,4.555
03.09.2010,7641,7660,21588,21462,,,,,,,1561.1,,3.939,4.699
10.09.2010,7479.5,7474,22518,22356.5,,,,,,,1542.5,,3.883,4.699
17.09.2010,7718.75,7687,23235,22913,,,,,,,1621.9,,4.024,4.622
24.09.2010,7949.5,7898,22942,22500,,,,,,,1639.8,,3.881,4.518
01.10.2010,8098,8056,23824,23470,,,,,,,1682.1,,3.797,4.525
08.10.2010,8311,8220,24358,24042,,,,,,,1708.7,,3.651,4.562
